description,label,predicted_medical_specialty
Repair of ruptured globe involving posterior sclera - Sample/Template.,Ophthalmology,Ophthalmology
Repair of ruptured globe with repositing of uveal tissue - Sample/Template.,Ophthalmology,Ophthalmology
Scleral buckle opening. The 4 scleral quadrants were inspected and found to be free of scleral thinning or staphyloma.,Ophthalmology,Ophthalmology
Scleral Buckle opening under general anesthesia.,Ophthalmology,Ophthalmology
Scleral buckle opening under local anesthesia.,Ophthalmology,Ophthalmology
Trabeculectomy with mitomycin C - Sample/Template.,Ophthalmology,Ophthalmology
"Short flap trabeculectomy with lysis of conjunctival scarring, tenonectomy, peripheral iridectomy, paracentesis, watertight conjunctival closure, and 0.5 mg/mL mitomycin x2 minutes, left eye. Uncontrolled open angle glaucoma and conjunctival scarring, left eye.",Ophthalmology,Ophthalmology
Tube Shunt - Ahmed valve model S2 implant with pericardial reinforcement - Sample/Template.,Ophthalmology,Ophthalmology
"The patient with recurrent nongranulomatous anterior iritis and most recently, pain in left eye associated with headache and photophobia.",Ophthalmology,Ophthalmology
"Vitreous hemorrhage, right eye. Vitrectomy, right eye. A Lancaster lid speculum was applied and the conjunctiva was opened 4 mm posterior to the limbus.",Ophthalmology,Ophthalmology
"Combined closed vitrectomy with membrane peeling, fluid-air exchange, and endolaser, right eye.",Ophthalmology,Ophthalmology
"Pars plana vitrectomy, membrane peel, 23-gauge, right eye.",Ophthalmology,Ophthalmology
"Vitrectomy. A limited conjunctival peritomy was created with Westcott scissors to expose the supranasal and, separately, the supratemporal and inferotemporal quadrants.",Ophthalmology,Ophthalmology
Vitrectomy under general anesthesia,Ophthalmology,Ophthalmology
Vitrectomy under local anesthesia.,Ophthalmology,Ophthalmology
Vitrectomy opening. A limited conjunctival peritomy was created with Westcott scissors to expose the supranasal and separately the supratemporal and inferotemporal quadrants.,Ophthalmology,Ophthalmology
"Visually significant posterior capsule opacity, right eye. YAG laser posterior capsulotomy, right eye.",Ophthalmology,Ophthalmology
"This patient has undergone cataract surgery, and vision is reduced in the operated eye due to presence of a secondary capsular membrane. The patient is being brought in for YAG capsular discission.",Ophthalmology,Ophthalmology
Removal of the hardware and revision of right AC separation. Loose hardware with superior translation of the clavicle implants. Arthrex bioabsorbable tenodesis screws.,Orthopedic,Orthopedic
Bilateral open Achilles lengthening with placement of short leg walking cast.,Orthopedic,Orthopedic
Right Achilles tendon rupture.,Orthopedic,Orthopedic
"Achilles tendon rupture, left lower extremity. Primary repair left Achilles tendon. The patient was stepping off a hilo at work when he felt a sudden pop in the posterior aspect of his left leg. The patient was placed in posterior splint and followed up at ABC orthopedics for further care.",Orthopedic,Orthopedic
The patient was running and twisted her right ankle - right ankle sprain.,Orthopedic,Orthopedic
History and Physical for right ankle sprain,Orthopedic,Orthopedic
"Herniated nucleus pulposus. Anterior cervical decompression, anterior spine instrumentation, anterior cervical spine fusion, and application of machined allograft.",Orthopedic,Orthopedic
Anterior cervical discectomy and removal of herniated disk and osteophytes and decompression of spinal cord and bilateral nerve root decompression. Harvesting of autologous bone from the vertebral bodies. Grafting of allograft bone for creation of arthrodesis.,Orthopedic,Orthopedic
"Anterior cervical discectomy, removal of herniated disc and osteophytes, bilateral C4 nerve root decompression, harvesting of bone for autologous vertebral bodies for creation of arthrodesis, grafting of fibular allograft bone for creation of arthrodesis, creation of arthrodesis via an anterior technique with fibular allograft bone and autologous bone from the vertebral bodies, and placement of anterior spinal instrumentation using the operating microscope and microdissection technique.",Orthopedic,Orthopedic
Anterior cervical discectomy at C5-6 and placement of artificial disk replacement. Right C5-C6 herniated nucleus pulposus.,Orthopedic,Orthopedic
Anterior cervical discectomy (two levels) and C5-C6 and C6-C7 allograft fusions. A C5-C7 anterior cervical plate fixation (Sofamor Danek titanium window plate) intraoperative fluoroscopy used and intraoperative microscopy used. Intraoperative SSEP and EMG monitoring used.,Orthopedic,Neurosurgery
"C5-C6 anterior cervical discectomy, bone bank allograft, and anterior cervical plate. Left cervical radiculopathy.",Orthopedic,Orthopedic
"Anterior cervical discectomy, arthrodesis, partial corpectomy, Machine bone allograft, placement of anterior cervical plate with a Zephyr.
7. Microscopic dissection.",Orthopedic,Surgery
"Arthrodesis - anterior interbody technique, anterior cervical discectomy, anterior instrumentation with a 23-mm Mystique plate and the 13-mm screws, implantation of machine bone implant. Disc herniation with right arm radiculopathy.",Orthopedic,Orthopedic
"Anterior cervical discectomy C4-C5 arthrodesis with 8 mm lordotic ACF spacer, corticocancellous, and stabilization with Synthes Vector plate and screws. Cervical spondylosis and herniated nucleus pulposus of C4-C5.",Orthopedic,Orthopedic
"Anterior cervical discectomy with decompression C6-C7, arthrodesis with anterior interbody fusion C6-C7, spinal instrumentation using Pioneer 20 mm plate and four 12 x 4.0 mm screws, PEEK implant 7 mm, and Allograft using Vitoss.",Orthopedic,Orthopedic
"Anterior cervical discectomy with decompression, anterior cervical fusion, anterior cervical instrumentation, and Allograft C5-C6.",Orthopedic,Surgery
Anterior cervical discectomy fusion C3-C4 and C4-C5 using operating microscope and the ABC titanium plates fixation with bone black bone procedure. Cervical spondylotic myelopathy with cord compression and cervical spondylosis.,Orthopedic,Neurosurgery
"Anterior cervical discectomy and fusion, C2-C3, C3-C4. Removal of old instrumentation, C4-C5. Fusion C3-C4 and C2-C3 with instrumentation using ABC plates.",Orthopedic,Orthopedic
"Herniated nucleus pulposus, C5-C6, with spinal stenosis. Anterior cervical discectomy with fusion C5-C6.",Orthopedic,Orthopedic
"Radical anterior discectomy with removal of posterior osteophytes, foraminotomies, and decompression of the spinal canal. Anterior cervical fusion. Utilization of allograft for purposes of spinal fusion. Application of anterior cervical locking plate.",Orthopedic,Orthopedic
Anterior cervical discectomy with decompression and arthrodesis with anterior interbody fusion. Spinal instrumentation using Pioneer 18-mm plate and four 14 x 4.3 mm screws (all titanium).,Orthopedic,Orthopedic
"Anterior cervical discectomy at C5-C6 and C6-C7 for neural decompression and anterior interbody fusion at C5-C6 and C6-C7 utilizing Bengal cages x2. Anterior instrumentation by Uniplate construction C5, C6, and C7 with intraoperative x-ray x2.",Orthopedic,Surgery
Anterior cervical discectomy with decompression of spinal cord. Anterior cervical fusion. Anterior cervical instrumentation. Insertion of intervertebral device. Use of operating microscope.,Orthopedic,Neurosurgery
"C4-C5, C5-C6 anterior cervical discectomy and fusion. The patient is a 62-year-old female who presents with neck pain as well as upper extremity symptoms. Her MRI showed stenosis at portion of C4 to C6.",Orthopedic,Orthopedic
"C5-C6 anterior cervical discectomy, allograft fusion, and anterior plating.",Orthopedic,Orthopedic
"Herniated nucleus pulposus C5-C6. Anterior cervical discectomy fusion C5-C6 followed by instrumentation C5-C6 with titanium dynamic plating system, Aesculap. Operating microscope was used for both illumination and magnification.",Orthopedic,Orthopedic
"Anterior cervical discectomy and fusions C4-5, C5-6, C6-7 using Bengal cages and Slimlock plate C4 to C7; intraoperative x-ray. Herniated nucleuses pulposus, C5-6 greater than C6-7, left greater than C4-5 right with left radiculopathy and moderate stenosis C5-6.",Orthopedic,Orthopedic
"Anterior cervical discectomy with decompression, C5-C6, arthrodesis with anterior interbody fusion, C5-C6, spinal instrumentation, C5-C6 using Pioneer 18-mm plate and four 14 x 4.0 mm screws (all titanium), implant using PEEK 7 mm, and Allograft using Vitoss.",Orthopedic,Orthopedic
"Anterior cervical discectomy for neural decompression and anterior interbody fusion at C4-C5, C5-C6, and C6-C7 utilizing Bengal cages times three.",Orthopedic,Surgery
Anterior cervical discectomy with spinal cord and spinal canal decompression and Anterior interbody fusion at C5-C6 utilizing Bengal cage.,Orthopedic,Surgery
Anterior cervical discectomy for neural decompression and anterior interbody fusion C5-C6 utilizing Bengal cage.,Orthopedic,Surgery
Anterior cervical discectomy and osteophytectomy. Application of prosthetic interbody fusion device. Anterior cervical interbody arthrodesis. Anterior cervical instrumentation,Orthopedic,Surgery
Arthroscopy of the left knee was performed with the anterior cruciate ligament reconstruction. Removal of loose bodies. Medial femoral chondroplasty and meniscoplasty.,Orthopedic,Orthopedic
"Anterior lumbar fusion, L4-L5, L5-S1, PEEK vertebral spacer, structural autograft from L5 vertebral body, BMP and anterior plate. Severe low back pain.",Orthopedic,Orthopedic
"Irrigation and debridement of skin, subcutaneous tissue, fascia and bone associated with an open fracture and placement of antibiotic-impregnated beads. Open calcaneus fracture on the right.",Orthopedic,Orthopedic
Bilateral Crawford subtalar arthrodesis with open Achilles Z-lengthening and bilateral long-leg cast.,Orthopedic,Orthopedic
"Hammertoe deformity, left fifth digit and ulceration of the left fifth digit plantolaterally. Arthroplasty of the left fifth digit proximal interphalangeal joint laterally and excision of plantar ulceration of the left fifth digit 3 cm x 1 cm in size.",Orthopedic,Podiatry
Arthroplasty of the right second digit. Hammertoe deformity of the right second digit.,Orthopedic,Orthopedic
Recurrent anterior dislocating left shoulder. Arthroscopic debridement of the left shoulder with attempted arthroscopic Bankart repair followed by open Bankart arthroplasty of the left shoulder.,Orthopedic,Orthopedic
"Femoroacetabular impingement. Left hip arthroscopic debridement, femoral neck osteoplasty, and labral repair.",Orthopedic,Orthopedic
"Torn lateral meniscus and chondromalacia of the patella, right knee. Arthroscopic lateral meniscoplasty and patellar shaving of the right knee.",Orthopedic,Orthopedic
Primary right shoulder arthroscopic rotator cuff repair with subacromial decompression.,Orthopedic,Orthopedic
"Rotated cuff tear, right shoulder. Glenoid labrum tear. Arthroscopy with arthroscopic glenoid labrum debridement, subacromial decompression, and rotator cuff repair, right shoulder.",Orthopedic,Orthopedic
"Arthroscopic rotator cuff repair, arthroscopic subacromial decompression, and arthroscopic extensive debridement, superior labrum anterior and posterior tear.",Orthopedic,Orthopedic
"Rotator cuff tear, right shoulder. Superior labrum anterior and posterior lesion (peel-back), right shoulder. Arthroscopy with arthroscopic SLAP lesion. Repair of soft tissue subacromial decompression rotator cuff repair, right shoulder.",Orthopedic,Orthopedic
"Arthroscopy of the arthroscopic glenoid labrum, rotator cuff debridement shaving glenoid and humeral head, and biceps tenotomy, right shoulder. Massive rotator cuff tear, right shoulder, near complete biceps tendon tear of right shoulder, chondromalacia of glenohumeral joint or right shoulder, and glenoid labrum tear of right shoulder.",Orthopedic,Orthopedic
"Partial rotator cuff tear, left shoulder. Arthroscopy of the left shoulder with arthroscopic rotator cuff debridement, soft tissue decompression of the subacromial space of the left shoulder.",Orthopedic,Orthopedic
"Diagnostic arthroscopy with partial chondroplasty of patella, lateral retinacular release, and open tibial tubercle transfer with fixation of two 4.5 mm cannulated screws. Grade-IV chondromalacia patella and patellofemoral malalignment syndrome.",Orthopedic,Orthopedic
"Right shoulder arthroscopy, subacromial decompression, distal clavicle excision, bursectomy, and coracoacromial ligament resection, carpal tunnel release, left knee arthroscopy, and partial medial and lateral meniscectomy.",Orthopedic,Orthopedic
"Diagnostic arthroscopy exam under anesthesia, left shoulder. Debridement of chondral injury, left shoulder. Debridement, superior glenoid, left shoulder. Arthrotomy. Bankart lesion repair. Capsular shift, left shoulder (Mitek suture anchors; absorbable anchors with nonabsorbable sutures).",Orthopedic,Orthopedic
"Arthroscopy of the left knee, left arthroscopic medial meniscoplasty of medial femoral condyle, and chondroplasty of the left knee as well. Chondromalacia of medial femoral condyle. Medial meniscal tear, left knee.",Orthopedic,Orthopedic
"Hemarthrosis, left knee, status post total knee replacement, rule out infection. Arthrotomy, irrigation and debridement, and polyethylene exchange, left knee. No complications were encountered throughout the procedure.",Orthopedic,Orthopedic
"Excision of capsular mass and arthrotomy with ostectomy of lateral femoral condyle, right knee. Soft tissue mass and osteophyte lateral femoral condyle, right knee.",Orthopedic,Orthopedic
"Arthrotomy, removal humeral head implant, right shoulder. Repair of torn subscapularis tendon (rotator cuff tendon) acute tear. Debridement glenohumeral joint. Biopsy and culturing the right shoulder.",Orthopedic,Orthopedic
"Erythema of the right knee and leg, possible septic knee. Aspiration through the anterolateral portal of knee joint.",Orthopedic,Orthopedic
"Austin bunionectomy with internal screw fixation, first metatarsal, left foot.",Orthopedic,Orthopedic
"Austin-Akin bunionectomy with internal screw fixation of the first right metatarsophalangeal joint. Weil osteotomy with internal screw fixation, first right metatarsal. Arthroplasty, second right PIP joint.",Orthopedic,Orthopedic
"Austin-Moore bipolar hemiarthroplasty, left hip utilizing a medium fenestrated femoral stem with a medium 0.8 mm femoral head, a 50 mm bipolar cup. Displace subcapital fracture, left hip.",Orthopedic,Orthopedic
Bilateral l5 spondylolysis with pars defects and spinal instability with radiculopathy. Chronic pain syndrome.,Orthopedic,Orthopedic
Back injury with RLE radicular symptoms. The patient is a 52-year-old male who is here for independent medical evaluation.,Orthopedic,IME-QME-Work Comp etc.
Decreased ability to perform daily living activities secondary to exacerbation of chronic back pain.,Orthopedic,Physical Medicine - Rehab
Tailor's bunionectomy with metatarsal osteotomy of the left fifth metatarsal. Excision of nerve lesion with implantation of the muscle belly of the left second interspace. Excision of nerve lesion in the left third interspace.,Orthopedic,Podiatry
"Ruptured distal biceps tendon, right elbow. Repair of distal biceps tendon, right elbow.",Orthopedic,Orthopedic
"A woman presenting to our clinic for the first time for evaluation of hip pain, right greater than left, of greater than 2 years duration. The pain is located laterally as well as anteriorly into the groin.",Orthopedic,Orthopedic
"Evaluation of pain and symptoms related to a recurrent bunion deformity in bilateral feet - recurrent bunion deformity, right forefoot & pes planovalgus deformity, bilateral feet.",Orthopedic,Orthopedic
"Austin/akin bunionectomy, right foot. Bunion, right foot. The patient states she has had a bunion deformity for as long as she can remember that has progressively become worse and more painful.",Orthopedic,Podiatry
"Bunion, left foot. Bunionectomy with first metatarsal osteotomy base wedge type with internal screw fixation and Akin osteotomy with internal wire fixation of left foot.",Orthopedic,Podiatry
"Bunionectomy, right foot with Biopro hemi implant, right first metatarsophalangeal joint. Arthrodesis, right second, third, and fourth toes with external rod fixation. Hammertoe repair, right fifth toe. Extensor tenotomy and capsulotomy, right fourth metatarsophalangeal joint. Modified Tailor's bunionectomy, right fifth metatarsal.",Orthopedic,Podiatry
"Bunionectomy with distal first metatarsal osteotomy and internal screw fixation, right foot. Proximal interphalangeal joint arthroplasty, bilateral fifth toes. Distal interphalangeal joint arthroplasty, bilateral third and fourth toes. Flexor tenotomy, bilateral third toes.",Orthopedic,Podiatry
"Bunionectomy, SCARF type, with metatarsal osteotomy and internal screw fixation, left and arthroplasty left second toe. Bunion left foot and hammertoe, left second toe.",Orthopedic,Podiatry
"Bunionectomy with distal first metatarsal osteotomy and internal screw fixation, right foot. Akin bunionectomy, right toe with internal wire fixation.",Orthopedic,Orthopedic
"Left calcaneal lengthening osteotomy with allograft, partial plantar fasciotomy, posterior subtalar and tibiotalar capsulotomy, and short leg cast placed.",Orthopedic,Orthopedic
"Carpal tunnel release with transverse carpal ligament reconstruction. A longitudinal incision was made in line with the fourth ray, from Kaplan's cardinal line proximally to 1 cm distal to the volar wrist crease. The dissection was carried down to the superficial aponeurosis.",Orthopedic,Orthopedic
Endoscopic release of left transverse carpal ligament.,Orthopedic,Orthopedic
"Endoscopic release of left transverse carpal ligament. Steroid injection, stenosing tenosynovitis of right middle finger.",Orthopedic,Orthopedic
"Carpal tunnel release. Nerve conduction study tests diagnostic of carpal tunnel syndrome. The patient failed to improve satisfactorily on conservative care, including anti-inflammatory medications and night splints.",Orthopedic,Orthopedic
Right carpal tunnel release.,Orthopedic,Orthopedic
Left endoscopic carpal tunnel release and endotracheal fasciotomy.,Orthopedic,Surgery
"Left carpal tunnel release, left ulnar nerve anterior submuscular transposition at the elbow, lengthening of the flexor pronator muscle mass in the proximal forearm to accommodate the submuscular position of the ulnar nerve.",Orthopedic,Orthopedic
"Right open carpal tunnel release and cortisone injection, left carpal tunnel.",Orthopedic,Orthopedic
Bilateral open carpal tunnel release.,Orthopedic,Orthopedic
Left carpal tunnel release. Left carpal tunnel syndrome. Severe compression of the median nerve on the left at the wrist.,Orthopedic,Orthopedic
Right carpal tunnel syndrome. Right carpal tunnel release.,Orthopedic,Orthopedic
Right carpal tunnel release and right index and middle fingers release A1 pulley. Right carpal tunnel syndrome and right index finger and middle fingers tenosynovitis.,Orthopedic,Orthopedic
Right carpal tunnel release. Right carpal tunnel syndrome. This is a 54-year-old female who was complaining of right hand numbness and tingling of the median distribution and has elected to undergo carpal tunnel surgery secondary to failure of conservative management.,Orthopedic,Orthopedic
"Carpal tunnel syndrome. Endoscopic carpal tunnel release. After administering appropriate antibiotics and MAC anesthesia, the upper extremity was prepped and draped in the usual standard fashion, the arm was exsanguinated with Esmarch, and the tourniquet inflated to 250 mmHg.",Orthopedic,Orthopedic
"Carpal tunnel syndrome. Open carpal tunnel release. A longitudinal incision was made in line with the 4th ray. The dissection was carried down to the superficial aponeurosis, which was cut. The distal edge of the transverse carpal ligament was identified with a hemostat.",Orthopedic,Orthopedic
Left knee arthroscopy with removal of the cartilage loose body and microfracture of the medial femoral condyle with chondroplasty.,Orthopedic,Orthopedic
"Left total knee cemented arthroplasty. Severe tricompartmental osteoarthritis, left knee with varus deformity.",Orthopedic,Orthopedic
Left hip cemented hemiarthroplasty and biopsy of the tissue from the fracture site and resected femoral head sent to the pathology for further assessment.,Orthopedic,Orthopedic
"Followup cervical spinal stenosis. Her symptoms of right greater than left upper extremity pain, weakness, paresthesias had been worsening after an incident when she thought she had exacerbated her conditions while lifting several objects.",Orthopedic,Neurology
"Cervical spondylosis and kyphotic deformity. She had a nerve conduction study and a diagnosis of radiculopathy was made. She had an MRI of lumbosacral spine, which was within normal limits. She then developed a tingling sensation in the right middle toe.",Orthopedic,Neurology
"Postoperative followup note - Cervicalgia, cervical radiculopathy, and difficulty swallowing status post cervical fusion C3 through C7 with lifting of the plate.",Orthopedic,Orthopedic
"Trimalleolar ankle fracture and dislocation right ankle. A comminuted fracture involving the lateral malleolus, as well as a medial and posterior malleolus fracture as well. Closed open reduction and internal fixation of right ankle.",Orthopedic,Orthopedic
Right distal both-bone forearm fracture. Closed reduction under conscious sedation and application of a splint was warranted.,Orthopedic,Orthopedic
Left distal both-bone forearm fracture. Closed reduction with splint application with use of image intensifier.,Orthopedic,Orthopedic
"Closed reduction percutaneous pinning, left distal humerus. Closed type-III supracondylar fracture, left distal humerus. Tethered brachial artery, left elbow.",Orthopedic,Orthopedic
"Closing wedge osteotomy, fifth metatarsal with internal screw fixation, right foot.",Orthopedic,Podiatry
"Lateral and plantar condylectomy, fifth left metatarsal.",Orthopedic,Podiatry
The patient has been suffering from intractable back and leg pain.,Orthopedic,Pain Management
Patient with complaint of left knee pain. Patient is obese and will be starting Medifast Diet.,Orthopedic,Orthopedic
Common CT C-Spine template,Orthopedic,Orthopedic
Axial images through the cervical spine with coronal and sagittal reconstructions.,Orthopedic,Radiology
CT cervical spine for trauma. CT examination of the cervical spine was performed without contrast. Coronal and sagittal reformats were obtained for better anatomical localization.,Orthopedic,Radiology
Motor vehicle collision. CT head without contrast and CT cervical spine without contrast. Noncontrast axial CT images of the head were obtained.,Orthopedic,Radiology
"CT head without contrast, CT facial bones without contrast, and CT cervical spine without contrast.",Orthopedic,Radiology
"Motor vehicle collision. CT head without contrast, CT facial bones without contrast, and CT cervical spine without contrast.",Orthopedic,Radiology
"Noncontrast CT scan of the lumbar spine. Left lower extremity muscle spasm. Transaxial thin slice CT images of the lumbar spine were obtained with sagittal and coronal reconstructions on emergency basis, as requested.",Orthopedic,Radiology
This is a middle-aged female with low back pain radiating down the left leg and foot for one and a half years.,Orthopedic,Physical Medicine - Rehab
This is a middle-aged female with two month history of low back pain and leg pain.,Orthopedic,Physical Medicine - Rehab
CT REPORT - Soft Tissue Neck,Orthopedic,Radiology
CT REPORT - Soft Tissue Neck,Orthopedic,Radiology
CT of Lumbar Spine without Contrast. Patient with history of back pain after a fall.,Orthopedic,Orthopedic
"Carpal tunnel syndrome and de Quervain's stenosing tenosynovitis. Carpal tunnel release and de Quervain's release. A longitudinal incision was made in line with the 4th ray, from Kaplan's cardinal line proximally to 1 cm distal to the volar wrist crease. The dissection was carried down to the superficial aponeurosis.",Orthopedic,Orthopedic
Wrist de Quervain stenosing tenosynovitis. de Quervain release. Fascial lengthening flap of the 1st dorsal compartment.,Orthopedic,Orthopedic
"Incision and drainage with extensive debridement, left shoulder. Removal total shoulder arthroplasty (uncemented humeral Biomet component; cemented glenoid component). Implantation of antibiotic beads, left shoulder.",Orthopedic,Orthopedic
"Decompressive laminectomy at T12 with bilateral facetectomies, decompression of T11 and T12 nerve roots bilaterally with posterolateral fusion supplemented with allograft bone chips and pedicle screws and rods with crosslink Synthes ClickX System.",Orthopedic,Surgery
"Delayed open reduction internal fixation with plates and screws, 6-hole contoured distal fibular plate and screws reducing posterolateral malleolar fragment as well as medial malleolar fragment.",Orthopedic,Orthopedic
"Torn rotator cuff and subacromial spur with impingement syndrome, right shoulder. Diagnostic arthroscopy with subacromial decompression and open repair of rotator cuff using three Panalok suture anchors.",Orthopedic,Orthopedic
"Anterior cervical discectomy, osteophytectomy, foraminotomies, spinal cord decompression, fusion with machined allografts, Eagle titanium plate, Jackson-Pratt drain placement, and intraoperative monitoring with EMGs and SSEPs",Orthopedic,Neurosurgery
Trauma/ATV accident resulting in left open humerus fracture.,Orthopedic,Orthopedic
A 47-year-old female with a posttraumatic AV in the right femoral head.,Orthopedic,Orthopedic
"Redo L4-5 diskectomy, left - recurrent herniation L4-5 disk with left radiculopathy.",Orthopedic,Orthopedic
Degenerative disk disease at L4-L5 and L5-S1. Anterior exposure diskectomy and fusion at L4-L5 and L5-S1.,Orthopedic,Orthopedic
Stenosing tenosynovitis first dorsal extensor compartment/de Quervain tendonitis. Release of first dorsal extensor compartment.,Orthopedic,Orthopedic
"Excision dorsal ganglion, right wrist. The extensor retinaculum was then incised and the extensor tendon was dissected and retracted out of the operative field.",Orthopedic,Orthopedic
"Bilateral L5 dorsal ramus block and bilateral S1, S2, and S3 lateral branch block for sacroiliac joint pain. Fluoroscopic pillar view was used to identify the bony landmarks of the sacrum and sacroiliac joint and the planned needle approach. The skin, subcutaneous tissue, and muscle within the planned approach were anesthetized with 1% Lidocaine.",Orthopedic,Pain Management
"Excision of Dupuytren disease of the right hand extending out to the proximal interphalangeal joint of the little finger. The patient is a 51-year-old male with left Dupuytren disease, which is causing contractions both at the metacarpophalangeal and the PIP joint as well as significant discomfort.",Orthopedic,Orthopedic
Left elbow manipulation and hardware removal of left elbow.,Orthopedic,Orthopedic
"Left elbow pain. Fracture of the humerus, spiral. Possible nerve injuries to the radial and median nerve, possibly neurapraxia.",Orthopedic,Orthopedic
Endoscopic carpal tunnel release and de Quervain's release. Left carpal tunnel syndrome and de Quervain's tenosynovitis.,Orthopedic,Orthopedic
Endoscopic carpal tunnel release. Left carpal tunnel syndrome.,Orthopedic,Orthopedic
Left little finger extensor tendon laceration. Repair of left little extensor tendon.,Orthopedic,Orthopedic
"Bilateral C3-C4, C4-C5, C5-C6, and C6-C7 medial facetectomy and foraminotomy with technical difficulty, total laminectomy C3, C4, C5, and C6, excision of scar tissue, and repair of dural tear with Prolene 6-0 and Tisseel.",Orthopedic,Neurosurgery
Consultation for FCR tendinitis,Orthopedic,Orthopedic
Consultation for finger triggering and locking.,Orthopedic,Orthopedic
Sample Radiology report of knee (growth arrest lines).,Orthopedic,Radiology
"Flexor carpi radialis and palmaris longus repair. Right wrist laceration with a flexor carpi radialis laceration and palmaris longus laceration 90%, suspected radial artery laceration.",Orthopedic,Orthopedic
Followup 4 months status post percutaneous screw fixation of a right Schatzker IV tibial plateau fracture and second through fifth metatarsal head fractures treated nonoperatively.,Orthopedic,Orthopedic
Consultation for left foot pain.,Orthopedic,Podiatry
"Excision of foreign body, right foot and surrounding tissue. This 41-year-old male presents to preoperative holding area after keeping himself n.p.o., since mid night for removal of painful retained foreign body in his right foot. The patient works in the Electronics/Robotics field and relates that he stepped on a wire at work, which somehow got into his shoe. The wire entered his foot.",Orthopedic,Podiatry
"Cellulitis with associated abscess and foreign body, right foot. Irrigation debridement and removal of foreign body of right foot. Purulent material from the abscess located in the plantar aspect of the foot between the third and fourth metatarsal heads.",Orthopedic,Dermatology
Excision of ganglion of the left wrist. A curved incision was made over the presenting ganglion over the dorsal aspect of the wrist.,Orthopedic,Orthopedic
"Resection of infected bone, left hallux, proximal phalanx, and distal phalanx. Osteomyelitis, left hallux.",Orthopedic,Orthopedic
Left distal medial hamstring release.,Orthopedic,Orthopedic
"New patient visit for right hand pain. Punched the wall 3 days prior to presentation, complained of ulnar-sided right hand pain, and was seen in the emergency room.",Orthopedic,Orthopedic
Hardware removal in the left elbow.,Orthopedic,Orthopedic
"Removal of painful hardware, first left metatarsal. Excision of nonunion, first left metatarsal. Incorporation of corticocancellous bone graft with internal fixation consisting of screws and plates of the first left metatarsal.",Orthopedic,Orthopedic
"Hardware removal, right ulnar",Orthopedic,Orthopedic
"Austin-Moore bipolar hemiarthroplasty, left hip. Subcapital left hip fracture.",Orthopedic,Orthopedic
"Hemiarthroplasty, right hip. Fracture of the right femoral neck, also history of Alzheimer's dementia, hypothyroidism, and status post hemiarthroplasty of the hip.",Orthopedic,Orthopedic
"Hemiarthroplasty of left shoulder utilizing a global advantage system with an #8 mm cemented humeral stem and 48 x 21 mm modular head replacement. Comminuted fracture, dislocation left proximal humerus.",Orthopedic,Orthopedic
Left C5-6 hemilaminotomy and foraminotomy with medial facetectomy for microscopic decompression of nerve root.,Orthopedic,Neurosurgery
Left hip fracture. The patient is a 53-year-old female with probable pathological fracture of the left proximal femur.,Orthopedic,Orthopedic
Status post left hip fracture and hemiarthroplasty. Rehab transfer as soon as medically cleared.,Orthopedic,Orthopedic
Persistent left hip pain. Left hip avascular necrosis. Discussed the possibility of hip arthrodesis versus hip replacement versus hip resurfacing,Orthopedic,Orthopedic
Decreased ability to perform daily living activity secondary to recent right hip surgery.,Orthopedic,Physical Medicine - Rehab
Non-healing surgical wound to the left posterior thigh. Several multiple areas of hypergranulation tissue on the left posterior leg associated with a sense of trauma to his right posterior leg.,Orthopedic,General Medicine
"Postoperative wound infection, complicated. Irrigation and debridement of postoperative wound infection. Removal of foreign body. Placement of vacuum-assisted closure.device.",Orthopedic,Surgery
"Incision and drainage and removal of foreign body, right foot. The patient has had previous I&D but continues to have to purulent drainage. The patient's parents agreed to performing a surgical procedure to further clean the wound.",Orthopedic,Surgery
"Grade 1 compound fracture, right mid-shaft radius and ulna with complete displacement and shortening. Irrigation and debridement of skin subcutaneous tissues, muscle, and bone, right forearm. Open reduction, right both bone forearm fracture with placement of long-arm cast.",Orthopedic,Orthopedic
"A male presents complaining of some right periscapular discomfort, some occasional neck stiffness, and some intermittent discomfort in his low back relative to an industrial fall.",Orthopedic,Orthopedic
"Painful ingrown toenail, left big toe. Removal of an ingrown part of the left big toenail with excision of the nail matrix.",Orthopedic,Podiatry
Intramedullary nail fixation of the left tibia fracture with a Stryker T2 tibial nail. Left tibial shaft fracture status post gunshot wound.,Orthopedic,Orthopedic
Displaced left subtrochanteric femur fracture. Intramedullary rod in the left hip using the Synthes trochanteric fixation nail measuring 11 x 130 degrees with an 85-mm helical blade.,Orthopedic,Orthopedic
Evaluation for chronic pain program,Orthopedic,Pain Management
"Left below-the-knee amputation. Dressing change, right foot.",Orthopedic,Orthopedic
"Bilateral degenerative arthritis of the knees. Right total knee arthroplasty done in conjunction with a left total knee arthroplasty, which will be dictated separately.",Orthopedic,Orthopedic
Bilateral knee degenerative arthritis. Bilateral knee arthroplasty. The Zimmer NexGen total knee system was utilized.,Orthopedic,Orthopedic
"Painful right knee status post total knee arthroplasty many years ago. Status post poly exchange, right knee, total knee arthroplasty.",Orthopedic,Orthopedic
Revision right total knee arthroplasty. Right failed total knee arthroplasty.,Orthopedic,Orthopedic
Left knee arthroscopy with lateral capsular release.,Orthopedic,Orthopedic
Arthroscopic procedure of the knee.,Orthopedic,Orthopedic
